g,type,rco,ti,at,n0,p,a,r1,theta,v
44,mean,9853.72891987,0.0131153846154,0.0,1.35,2.85425236983e-05,1.47376923077,934.14,3.14151518546,1.35533634846e-05
45,best,9810.01425,0.0135,0.0,1.35,2.86696831608e-05,1.473,934.14,3.14151479973,1.36188094047e-05
45,mean,9849.5112875,0.013125,0.0,1.35,2.85547592057e-05,1.47375,934.14,3.1415151512,1.35593031844e-05
46,best,9800.015,0.01275,0.0,1.35,2.86989361484e-05,1.4745,934.14,3.14151479958,1.36228176125e-05
46,mean,9843.07843667,0.01355,0.0,1.35,2.85734357506e-05,1.4729,934.14,3.14151505576,1.35737515035e-05
47,best,9810.01425,0.01575,0.0,1.35,2.86696831608e-05,1.4685,934.14,3.14151456116,1.36485318231e-05
47,mean,9837.98834226,0.0138303571429,0.0,1.35,2.85882453595e-05,1.47233928571,934.14,3.14151498597,1.35844727839e-05
48,best,9790.01575,0.0135,0.0,1.35,2.87282473437e-05,1.473,934.14,3.1415146407,1.36466288417e-05
48,mean,9830.75343519,0.0138796296296,0.0,1.35,2.86092798899e-05,1.47224074074,934.14,3.14151492364,1.35951145543e-05
49,best,9810.01425,0.01575,0.0,1.35,2.86696831608e-05,1.4685,934.14,3.14151456116,1.36485318231e-05
49,mean,9828.90172222,0.0140185185185,0.0,1.35,2.86146727668e-05,1.47196296296,934.14,3.1415148943,1.35995080389e-05
50,best,9800.015,0.01575,0.0,1.35,2.86989361484e-05,1.4685,934.14,3.14151448148,1.36624580437e-05
50,mean,9823.90931169,0.0142792207792,0.0,1.35,2.86291859131e-05,1.47144155844,934.14,3.14151482724,1.36098476646e-05
51,best,9800.015,0.01575,0.0,1.35,2.86989361484e-05,1.4685,934.14,3.14151448148,1.36624580437e-05
51,mean,9815.81628395,0.0146018518519,0.0,1.35,2.86527779674e-05,1.4707962963,934.14,3.14151472894,1.36253195036e-05
52,best,9790.01575,0.015,0.0,1.35,2.87282473437e-05,1.47,934.14,3.14151448149,1.36664692675e-05
52,mean,9814.40416463,0.0148445121951,0.0,1.35,2.86568915393e-05,1.47031097561,934.14,3.14151469197,1.36304856627e-05
